,Date,Team_1,Team_2,Winner,Margin,Ground,Winner 
1163,30-04-2022,Guernsey,Norway,Guernsey,8 wickets,Almeria,
1164,30-04-2022,Spain,Guernsey,Spain,8 wickets,Almeria,
1165,01-05-2022,Spain,Guernsey,Guernsey,8 wickets,Almeria,
1166,01-05-2022,Spain,Norway,Spain,41 runs,Almeria,
1167,07-05-2022,Denmark,Finland,Finland,3 wickets,Brondby,
1168,07-05-2022,Denmark,Finland,Denmark,137 runs,Brondby,
1169,08-05-2022,Denmark,Finland,Denmark,53 runs,Brondby,
1170,10-05-2022,Malta,Gibraltar,Malta,5 wickets,Marsa,
1171,10-05-2022,Malta,Hungary,Malta,45 runs,Marsa,
1172,10-05-2022,Gibraltar,Hungary,Hungary,4 wickets,Marsa,
1173,11-05-2022,Malta,Romania,Malta,5 wickets,Marsa,
1174,11-05-2022,Czech Rep.,Gibraltar,Czech Rep.,40 runs,Marsa,
1175,11-05-2022,Bulgaria,Hungary,Hungary,5 runs,Marsa,
1176,12-05-2022,Malta,Czech Rep.,Malta,2 runs,Marsa,
1177,12-05-2022,Bulgaria,Czech Rep.,Czech Rep.,88 runs,Marsa,
1178,12-05-2022,Hungary,Romania,Hungary,6 wickets,Marsa,
1179,13-05-2022,Bulgaria,Gibraltar,Gibraltar,21 runs,Marsa,
1180,13-05-2022,Czech Rep.,Romania,Romania,26 runs,Marsa,
1181,13-05-2022,Bulgaria,Romania,Romania,8 wickets,Marsa,
1182,14-05-2022,Czech Rep.,Hungary,Czech Rep.,7 wickets,Marsa,
1183,14-05-2022,Gibraltar,Romania,Romania,8 wickets,Marsa,
1184,14-05-2022,Malta,Bulgaria,Malta,6 wickets,Marsa,
1185,15-05-2022,Bulgaria,Gibraltar,Bulgaria,5 wickets,Marsa,
1186,15-05-2022,Czech Rep.,Hungary,Czech Rep.,70 runs,Marsa,
1187,15-05-2022,Malta,Romania,Romania,9 runs,Marsa,
1188,17-05-2022,Zimbabwe,Namibia,Zimbabwe,7 runs,Bulawayo,
1189,19-05-2022,Zimbabwe,Namibia,Namibia,8 wickets,Bulawayo,
1190,20-05-2022,Guernsey,Jersey,Jersey,37 runs,St Peter Port,
1191,21-05-2022,Guernsey,Jersey,Jersey,60 runs,Castel,
1192,21-05-2022,Zimbabwe,Namibia,Zimbabwe,8 wickets,Bulawayo,
1193,21-05-2022,Guernsey,Jersey,Jersey,37 runs,Castel,
1194,22-05-2022,Zimbabwe,Namibia,Namibia,6 wickets,Bulawayo,
1195,24-05-2022,Zimbabwe,Namibia,Namibia,32 runs,Bulawayo,
1196,04-06-2022,Austria,Hungary,Austria,105 runs,Lower Austria,
1197,04-06-2022,Austria,Hungary,no result,,Lower Austria,
1198,05-06-2022,Austria,Hungary,Hungary,4 wickets,Lower Austria,
1199,07-06-2022,Sri Lanka,Australia,Australia,10 wickets,Colombo (RPS),
1200,08-06-2022,Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS),
1201,09-06-2022,Germany,Austria,Germany,54 runs,Krefeld,
1202,09-06-2022,India,South Africa,South Africa,7 wickets,Delhi,
1203,09-06-2022,Germany,Sweden,Germany,4 wickets,Krefeld,
1204,10-06-2022,Germany,Austria,Austria,38 runs,Krefeld,
1205,10-06-2022,Austria,Sweden,Austria,3 runs,Krefeld,
1206,11-06-2022,Belgium,Malta,Belgium,111 runs,Gent,
1207,11-06-2022,Luxembourg,Switzerland,Luxembourg,18 runs,Walferdange,
1208,11-06-2022,Austria,Sweden,Austria,1 run,Krefeld,
1209,11-06-2022,Zimbabwe,Afghanistan,Afghanistan,6 wickets,Harare,
1210,11-06-2022,Belgium,Malta,Belgium,84 runs,Gent,
1211,11-06-2022,Luxembourg,Switzerland,Switzerland,78 runs,Walferdange,
1212,11-06-2022,Sri Lanka,Australia,Sri Lanka,4 wickets,Pallekele,
1213,11-06-2022,Germany,Sweden,Germany,29 runs,Krefeld,
1214,12-06-2022,Belgium,Malta,Belgium,122 runs,Waterloo,
1215,12-06-2022,Germany,Austria,Germany,3 wickets,Krefeld,
1216,12-06-2022,Zimbabwe,Afghanistan,Afghanistan,21 runs,Harare,
1217,12-06-2022,India,South Africa,South Africa,4 wickets,Cuttack,
1218,14-06-2022,Zimbabwe,Afghanistan,Afghanistan,35 runs,Harare,
1219,14-06-2022,India,South Africa,India,48 runs,Visakhapatnam,
1220,17-06-2022,India,South Africa,India,82 runs,Rajkot,
1221,19-06-2022,Finland,Estonia,Finland,23 runs,Kerava,
1222,19-06-2022,Finland,Estonia,Finland,11 runs,Kerava,
1223,19-06-2022,India,South Africa,no result,,Bengaluru,
1224,24-06-2022,Bulgaria,Serbia,Bulgaria,6 wickets,Sofia,
1225,25-06-2022,Bulgaria,Serbia,Bulgaria,5 wickets,Sofia,
1226,25-06-2022,Bulgaria,Serbia,Bulgaria,40 runs,Sofia,
1227,26-06-2022,Bulgaria,Serbia,Bulgaria,6 wickets,Sofia,
1228,26-06-2022,Ireland,India,India,7 wickets,Dublin (Malahide),
1229,28-06-2022,Belgium,Gibraltar,Belgium,7 wickets,Gent,
1230,28-06-2022,Malta,Spain,Spain,6 wickets,Waterloo,
1231,28-06-2022,Singapore,Malaysia,Singapore,4 wickets,Singapore,
1232,28-06-2022,Denmark,Hungary,Denmark,88 runs,Gent,
1233,28-06-2022,Israel,Portugal,Portugal,47 runs,Waterloo,
1234,28-06-2022,Ireland,India,India,4 runs,Dublin (Malahide),
1235,29-06-2022,Denmark,Gibraltar,Denmark,132 runs,Waterloo,
1236,29-06-2022,Malta,Portugal,Portugal,11 runs,Gent,
1237,29-06-2022,Singapore,Malaysia,Malaysia,23 runs,Singapore,
1238,29-06-2022,Belgium,Hungary,Belgium,2 wickets,Waterloo,
1239,29-06-2022,Israel,Spain,Spain,7 wickets,Gent,
1240,30-06-2022,Singapore,Malaysia,Malaysia,5 wickets,Singapore,
1241,01-07-2022,Gibraltar,Hungary,Gibraltar,4 wickets,Waterloo,
1242,01-07-2022,Portugal,Spain,Spain,8 wickets,Gent,
1243,01-07-2022,Belgium,Denmark,Belgium,12 runs,Waterloo,
1244,01-07-2022,Israel,Malta,Malta,16 runs,Gent,
1245,02-07-2022,Malaysia,Bhutan,Malaysia,155 runs,Bangi,
1246,02-07-2022,Belgium,Portugal,Portugal,8 wickets,Waterloo,
1247,02-07-2022,Singapore,P.N.G.,Singapore,18 runs,Singapore,
1248,02-07-2022,Denmark,Spain,Denmark,41 runs,Waterloo,
1249,02-07-2022,West Indies,Bangladesh,no result,,Roseau,
1250,03-07-2022,Maldives,Thailand,Maldives,7 wickets,Bangi,
1251,03-07-2022,Malaysia,Bhutan,Malaysia,39 runs,Bangi,
1252,03-07-2022,Hungary,Israel,Israel,12 runs,Waterloo,
1253,03-07-2022,Singapore,P.N.G.,P.N.G.,3 wickets,Singapore,
1254,03-07-2022,Gibraltar,Malta,Malta,7 wickets,Waterloo,
1255,03-07-2022,West Indies,Bangladesh,West Indies,35 runs,Roseau,
1256,04-07-2022,Malaysia,Thailand,Malaysia,9 wickets,Bangi,
1257,04-07-2022,Bhutan,Maldives,Bhutan,6 runs,Bangi,
1258,04-07-2022,Belgium,Spain,Belgium,5 wickets,Waterloo,
1259,04-07-2022,Denmark,Portugal,Denmark,9 wickets,Waterloo,
1260,06-07-2022,Bhutan,Thailand,Bhutan,6 wickets,Bangi,
1261,06-07-2022,Malaysia,Maldives,Malaysia,8 wickets,Bangi,
1262,07-07-2022,Bhutan,Maldives,Bhutan,2 runs,Bangi,
1263,07-07-2022,Malaysia,Thailand,Malaysia,9 wickets,Bangi,
1264,07-07-2022,England,India,India,50 runs,Southampton,
1265,07-07-2022,West Indies,Bangladesh,West Indies,5 wickets,Providence,
1266,08-07-2022,Maldives,Thailand,Maldives,41 runs,Bangi,
1267,08-07-2022,Austria,Luxembourg,Austria,5 wickets,Vinor,
1268,08-07-2022,Czech Rep.,Luxembourg,Czech Rep.,5 wickets,Vinor,
1269,08-07-2022,Serbia,Bulgaria,Serbia,7 wickets,Belgrade,
1270,09-07-2022,Malaysia,Maldives,Malaysia,94 runs,Bangi,
1271,09-07-2022,Bhutan,Thailand,Bhutan,28 runs,Bangi,
1272,09-07-2022,Czech Rep.,Austria,Austria,4 wickets,Vinor,
1273,09-07-2022,Serbia,Bulgaria,Serbia,8 wickets,Belgrade,
1274,09-07-2022,Austria,Luxembourg,Austria,35 runs,Vinor,
1275,09-07-2022,Serbia,Bulgaria,Bulgaria,95 runs,Belgrade,
1276,09-07-2022,England,India,India,49 runs,Birmingham,
1277,10-07-2022,Czech Rep.,Luxembourg,Czech Rep.,36 runs,Vinor,
1278,10-07-2022,Czech Rep.,Austria,Czech Rep.,6 wickets,Vinor,
1279,10-07-2022,England,India,England,17 runs,Nottingham,
1280,11-07-2022,Malaysia,Bhutan,Malaysia,9 wickets,Bangi,
1281,11-07-2022,Jersey,U.S.A.,U.S.A.,8 wickets,Bulawayo,
1282,11-07-2022,Zimbabwe,Singapore,Zimbabwe,111 runs,Bulawayo,
1283,11-07-2022,Hong Kong,Uganda,Uganda,2 wickets,Bulawayo,
1284,11-07-2022,Netherlands,P.N.G.,Netherlands,52 runs,Bulawayo,
1285,12-07-2022,Singapore,U.S.A.,U.S.A.,132 runs,Bulawayo,
1286,12-07-2022,Zimbabwe,Jersey,Zimbabwe,23 runs,Bulawayo,
1287,12-07-2022,Cyprus,Isle of Man,Isle of Man,8 wickets,Kerava,
1288,12-07-2022,Greece,Italy,Italy,9 wickets,Vantaa,
1289,12-07-2022,Hong Kong,Netherlands,Netherlands,7 wickets,Bulawayo,
1290,12-07-2022,P.N.G.,Uganda,P.N.G.,8 wickets,Bulawayo,
1291,12-07-2022,Finland,Sweden,Finland,12 runs,Vantaa,
1292,12-07-2022,Romania,Turkey,Romania,51 runs,Kerava,
1293,13-07-2022,Croatia,Sweden,Sweden,8 wickets,Kerava,
1294,13-07-2022,Cyprus,Romania,Cyprus,20 runs,Vantaa,
1295,13-07-2022,Finland,Italy,Italy,5 wickets,Kerava,
1296,13-07-2022,Isle of Man,Serbia,Isle of Man,68 runs,Vantaa,
1297,14-07-2022,Hong Kong,P.N.G.,Hong Kong,2 wickets,Bulawayo,
1298,14-07-2022,Netherlands,Uganda,Netherlands,97 runs,Bulawayo,
1299,14-07-2022,Jersey,Singapore,Jersey,13 runs,Bulawayo,
1300,14-07-2022,Zimbabwe,U.S.A.,Zimbabwe,46 runs,Bulawayo,
1301,15-07-2022,Hong Kong,Singapore,Hong Kong,7 wickets,Bulawayo,
1302,15-07-2022,Jersey,Uganda,Uganda,5 runs,Bulawayo,
1303,15-07-2022,Italy,Sweden,Italy,91 runs,Vantaa,
1304,15-07-2022,Serbia,Turkey,Serbia,7 wickets,Kerava,
1305,15-07-2022,Netherlands,U.S.A.,Netherlands,7 wickets,Bulawayo,
1306,15-07-2022,Zimbabwe,P.N.G.,Zimbabwe,27 runs,Bulawayo,
1307,15-07-2022,Croatia,Greece,Croatia,3 runs,Vantaa,
1308,15-07-2022,Isle of Man,Romania,Isle of Man,8 wickets,Kerava,
1309,16-07-2022,Finland,Greece,Finland,37 runs,Kerava,
1310,16-07-2022,Romania,Serbia,Romania,31 runs,Vantaa,
1311,16-07-2022,Croatia,Italy,Italy,166 runs,Kerava,
1312,16-07-2022,Cyprus,Turkey,Cyprus,135 runs,Vantaa,
1313,17-07-2022,Hong Kong,Uganda,Uganda,4 runs,Bulawayo,
1314,17-07-2022,Jersey,Singapore,Jersey,6 wickets,Bulawayo,
1315,17-07-2022,P.N.G.,U.S.A.,P.N.G.,5 runs,Bulawayo,
1316,17-07-2022,Zimbabwe,Netherlands,Zimbabwe,37 runs,Bulawayo,
1317,18-07-2022,Cyprus,Serbia,Serbia,4 wickets,Kerava,
1318,18-07-2022,Greece,Sweden,Sweden,107 runs,Vantaa,
1319,18-07-2022,Finland,Croatia,Finland,5 wickets,Vantaa,
1320,18-07-2022,Isle of Man,Turkey,Isle of Man,74 runs,Kerava,
1321,18-07-2022,Ireland,New Zealand,New Zealand,31 runs,Belfast,
1322,19-07-2022,Croatia,Serbia,Croatia,3 wickets,Vantaa,
1323,19-07-2022,Finland,Cyprus,Finland,11 runs,Kerava,
1324,19-07-2022,Isle of Man,Italy,Italy,7 wickets,Kerava,
1325,19-07-2022,Romania,Sweden,Sweden,8 wickets,Vantaa,
1326,20-07-2022,Ireland,New Zealand,New Zealand,88 runs,Belfast,
1327,22-07-2022,Ireland,New Zealand,New Zealand,6 wickets,Belfast,
1328,24-07-2022,Austria,Luxembourg,Austria,36 runs,Vantaa,
1329,24-07-2022,Estonia,Norway,Norway,10 wickets,Kerava,
1330,24-07-2022,Bulgaria,Guernsey,Guernsey,52 runs,Vantaa,
1331,24-07-2022,Czech Rep.,France,France,51 runs,Kerava,
1332,25-07-2022,Austria,Slovenia,Austria,141 runs,Kerava,
1333,25-07-2022,Czech Rep.,Norway,Norway,120 runs,Vantaa,
1334,25-07-2022,France,Switzerland,Switzerland,1 wicket,Vantaa,
1335,25-07-2022,Guernsey,Luxembourg,Guernsey,17 runs,Kerava,
1336,27-07-2022,Austria,Guernsey,Austria,2 wickets,Vantaa,
1337,27-07-2022,Estonia,Switzerland,Switzerland,31 runs,Kerava,
1338,27-07-2022,Bulgaria,Slovenia,Bulgaria,3 wickets,Vantaa,
1339,27-07-2022,France,Norway,France,11 runs,Kerava,
1340,27-07-2022,Scotland,New Zealand,New Zealand,68 runs,Edinburgh,
1341,27-07-2022,England,South Africa,England,41 runs,Bristol,
1342,28-07-2022,Bulgaria,Luxembourg,Luxembourg,21 runs,Kerava,
1343,28-07-2022,Norway,Switzerland,Norway,12 runs,Vantaa,
1344,28-07-2022,Czech Rep.,Estonia,Czech Rep.,42 runs,Vantaa,
1345,28-07-2022,Guernsey,Slovenia,Guernsey,9 wickets,Kerava,
1346,28-07-2022,England,South Africa,South Africa,58 runs,Cardiff,
1347,29-07-2022,Eswatini,Mozambique,Mozambique,8 wickets,Malkerns,
1348,29-07-2022,Eswatini,Mozambique,Mozambique,7 wickets,Malkerns,
1349,29-07-2022,Scotland,New Zealand,New Zealand,102 runs,Edinburgh,
1350,29-07-2022,West Indies,India,India,68 runs,Tarouba,
1351,30-07-2022,Eswatini,Mozambique,Mozambique,8 wickets,Malkerns,
1352,30-07-2022,Austria,Bulgaria,Austria,158 runs,Vantaa,
1353,30-07-2022,Czech Rep.,Switzerland,Czech Rep.,7 wickets,Kerava,
1354,30-07-2022,Zimbabwe,Bangladesh,Zimbabwe,17 runs,Harare,
1355,30-07-2022,Eswatini,Mozambique,Mozambique,95 runs,Malkerns,
1356,30-07-2022,Luxembourg,Slovenia,Luxembourg,5 runs,Vantaa,
1357,30-07-2022,Estonia,France,France,25 runs,Kerava,
1358,31-07-2022,Eswatini,Mozambique,Mozambique,94 runs,Malkerns,
1359,31-07-2022,Bulgaria,Czech Rep.,Czech Rep.,4 wickets,Vantaa,
1360,31-07-2022,France,Guernsey,Guernsey,56 runs,Kerava,
1361,31-07-2022,Zimbabwe,Bangladesh,Bangladesh,7 wickets,Harare,
1362,31-07-2022,Eswatini,Mozambique,Mozambique,43 runs,Malkerns,
1363,31-07-2022,Austria,Norway,Austria,9 wickets,Kerava,
1364,31-07-2022,Luxembourg,Switzerland,Luxembourg,7 runs,Vantaa,
1365,31-07-2022,England,South Africa,South Africa,90 runs,Southampton,
1366,01-08-2022,West Indies,India,West Indies,5 wickets,Basseterre,
1367,02-08-2022,Zimbabwe,Bangladesh,Zimbabwe,10 runs,Harare,
1368,02-08-2022,West Indies,India,India,7 wickets,Basseterre,
1369,03-08-2022,Ireland,South Africa,South Africa,21 runs,Bristol,
1370,04-08-2022,Netherlands,New Zealand,New Zealand,16 runs,The Hague,
1371,05-08-2022,Netherlands,New Zealand,New Zealand,8 wickets,The Hague,
1372,05-08-2022,Ireland,South Africa,South Africa,44 runs,Bristol,
1373,06-08-2022,India,West Indies,India,59 runs,Lauderhill,
1374,07-08-2022,India,West Indies,India,88 runs,Lauderhill,
1375,09-08-2022,Ireland,Afghanistan,Ireland,7 wickets,Belfast,
1376,10-08-2022,West Indies,New Zealand,New Zealand,13 runs,Kingston,
1377,11-08-2022,Ireland,Afghanistan,Ireland,5 wickets,Belfast,
1378,11-08-2022,Bahrain,Kuwait,tied,,Al Amerat,
1379,12-08-2022,Ireland,Afghanistan,Afghanistan,22 runs,Belfast,
1380,12-08-2022,West Indies,New Zealand,New Zealand,90 runs,Kingston,
1381,13-08-2022,Bahrain,Kuwait,Kuwait,20 runs,Al Amerat,
1382,14-08-2022,Bahrain,Kuwait,Kuwait,5 wickets,Al Amerat,
1383,14-08-2022,West Indies,New Zealand,West Indies,8 wickets,Kingston,
1384,15-08-2022,Ireland,Afghanistan,Afghanistan,27 runs,Belfast,
1385,16-08-2022,Bahrain,Kuwait,Kuwait,4 wickets,Al Amerat,
1386,17-08-2022,Ireland,Afghanistan,Ireland,7 wickets,Belfast,
1387,17-08-2022,Bahrain,Kuwait,Kuwait,102 runs,Al Amerat,
1388,20-08-2022,Hong Kong,Singapore,Hong Kong,8 runs,Al Amerat,
1389,21-08-2022,Kuwait,U.A.E.,Kuwait,1 wicket,Al Amerat,
1390,22-08-2022,Singapore,U.A.E.,U.A.E.,47 runs,Al Amerat,
1391,23-08-2022,Hong Kong,Kuwait,Hong Kong,8 wickets,Al Amerat,
1392,24-08-2022,Kuwait,Singapore,Kuwait,6 wickets,Al Amerat,
1393,24-08-2022,Hong Kong,U.A.E.,Hong Kong,8 wickets,Al Amerat,
1394,25-08-2022,Kenya,Nepal,Nepal,5 wickets,Nairobi (Gym),
1395,26-08-2022,Kenya,Nepal,Kenya,18 runs,Nairobi (Gym),
1396,27-08-2022,Afghanistan,Sri Lanka,Afghanistan,8 wickets,Dubai (DSC),
1397,28-08-2022,Kenya,Nepal,Nepal,4 wickets,Nairobi (Gym),
1398,28-08-2022,India,Pakistan,India,5 wickets,Dubai (DSC),
1399,29-08-2022,Kenya,Nepal,Kenya,7 runs,Nairobi (Gym),
1400,30-08-2022,Kenya,Nepal,Nepal,31 runs,Nairobi (Gym),
1401,30-08-2022,Afghanistan,Bangladesh,Afghanistan,7 wickets,Sharjah,
1402,31-08-2022,Hong Kong,India,India,40 runs,Dubai (DSC),
1403,01-09-2022,Bangladesh,Sri Lanka,Sri Lanka,2 wickets,Dubai (DSC),
1404,02-09-2022,Hong Kong,Pakistan,Pakistan,155 runs,Sharjah,
1405,03-09-2022,Afghanistan,Sri Lanka,Sri Lanka,4 wickets,Sharjah,
1406,04-09-2022,India,Pakistan,Pakistan,5 wickets,Dubai (DSC),
1407,06-09-2022,India,Sri Lanka,Sri Lanka,6 wickets,Dubai (DSC),
1408,07-09-2022,Afghanistan,Pakistan,Pakistan,1 wicket,Sharjah,
1409,08-09-2022,Afghanistan,India,India,101 runs,Dubai (DSC),
1410,09-09-2022,Vanuatu,Fiji,Vanuatu,56 runs,Port vila,
1411,09-09-2022,Cook Islands,Samoa,Samoa,7 wickets,Port vila,
1412,09-09-2022,Pakistan,Sri Lanka,Sri Lanka,5 wickets,Dubai (DSC),
1413,10-09-2022,Cook Islands,Fiji,Fiji,3 wickets,Port vila,
1414,10-09-2022,Vanuatu,Samoa,Vanuatu,9 wickets,Port vila,
1415,11-09-2022,Vanuatu,Cook Islands,Cook Islands,5 wickets,Port vila,
1416,11-09-2022,Fiji,Samoa,Fiji,3 wickets,Port vila,
1417,11-09-2022,Pakistan,Sri Lanka,Sri Lanka,23 runs,Dubai (DSC),
1418,13-09-2022,Cook Islands,Samoa,Cook Islands,4 wickets,Port vila,
1419,13-09-2022,Vanuatu,Fiji,Vanuatu,18 runs,Port vila,
1420,14-09-2022,Vanuatu,Samoa,Vanuatu,6 wickets,Port vila,
1421,14-09-2022,Cook Islands,Fiji,Cook Islands,8 wickets,Port vila,
1422,15-09-2022,Fiji,Samoa,Fiji,30 runs,Port vila,
1423,15-09-2022,Vanuatu,Cook Islands,Vanuatu,50 runs,Port vila,
1424,15-09-2022,Botswana,Uganda,Uganda,7 wickets,Benoni,
1425,15-09-2022,Cameroon,Malawi,Malawi,7 wickets,Benoni,
1426,16-09-2022,Ghana,Mozambique,Ghana,28 runs,Benoni,
1427,16-09-2022,Kenya,Malawi,Kenya,52 runs,Benoni,
1428,17-09-2022,Cameroon,Tanzania,Tanzania,10 wickets,Benoni,
1429,17-09-2022,Kenya,Tanzania,Tanzania,4 wickets,Benoni,
1430,18-09-2022,Botswana,Ghana,Botswana,11 runs,Benoni,
1431,18-09-2022,Mozambique,Uganda,Uganda,38 runs,Benoni,
1432,19-09-2022,Cameroon,Kenya,Kenya,9 wickets,Benoni,
1433,19-09-2022,Botswana,Mozambique,Botswana,92 runs,Benoni,
1434,20-09-2022,Malawi,Tanzania,Tanzania,44 runs,Benoni,
1435,20-09-2022,Ghana,Uganda,Uganda,8 wickets,Benoni,
1436,20-09-2022,India,Australia,Australia,4 wickets,Mohali,
1437,20-09-2022,Pakistan,England,England,6 wickets,Karachi,
1438,21-09-2022,Kenya,Uganda,Uganda,3 wickets,Benoni,
1439,21-09-2022,Botswana,Tanzania,Tanzania,4 wickets,Benoni,
1440,22-09-2022,Tanzania,Uganda,Uganda,8 wickets,Benoni,
1441,22-09-2022,Pakistan,England,Pakistan,10 wickets,Karachi,
1442,23-09-2022,India,Australia,India,6 wickets,Nagpur,
1443,23-09-2022,Pakistan,England,England,63 runs,Karachi,
1444,25-09-2022,India,Australia,India,6 wickets,Hyderabad (Deccan),
1445,25-09-2022,U.A.E.,Bangladesh,Bangladesh,7 runs,Dubai (DSC),
1446,25-09-2022,Pakistan,England,Pakistan,3 runs,Karachi,
1447,27-09-2022,U.A.E.,Bangladesh,Bangladesh,32 runs,Dubai (DSC),
1448,28-09-2022,India,South Africa,India,8 wickets,Thiruvananthapuram,
1449,28-09-2022,Pakistan,England,Pakistan,6 runs,Lahore,
1450,30-09-2022,Pakistan,England,England,8 wickets,Lahore,
1451,02-10-2022,India,South Africa,India,16 runs,Guwahati,
1452,02-10-2022,Pakistan,England,England,67 runs,Lahore,
1453,04-10-2022,India,South Africa,South Africa,49 runs,Indore,
1454,05-10-2022,Australia,West Indies,Australia,3 wickets,Carrara,
1455,07-10-2022,Bangladesh,Pakistan,Pakistan,21 runs,Christchurch,
1456,07-10-2022,Australia,West Indies,Australia,31 runs,Brisbane,
1457,08-10-2022,New Zealand,Pakistan,Pakistan,6 wickets,Christchurch,
1458,09-10-2022,Japan,Indonesia,Japan,64 runs,Sano,
1459,09-10-2022,New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch,
1460,09-10-2022,Australia,England,England,8 runs,Perth,
